api_number,incident_id,year,spudyr,LifeYear,direction,operator,latitude,longitude,pathway,leak_over,pathway_detail,cause,material,material_detail,volume_gal,waterimpact,contained,state
05-045-17920,2213907,2011,2009,2,Directional,WPX Energy Rocky Mountain LLC,39.510515,-107.557456,Separator,NA,Valve,Human Error,Condensate & Saltwater,Unknown,483,No,Yes,CO
05-045-11717,2214061,2011,2006,5,Vertical,Encana Oil & Gas Inc,39.60277,-108.10405,Wellhead,NA,Too much water to kill well,Human Error,Saltwater,Unknown,210,No,Yes,CO
05-045-19150,2214131,2011,2010,1,Directional,Encana Oil & Gas Inc,39.458067,-107.799902,Shaker,NA,Unknown,Human Error,Drilling Waste,Drilling Mud,252,No,Yes,CO
05-045-19150,2214132,2011,2010,1,Directional,Encana Oil & Gas Inc,39.458067,-107.799902,Pump,NA,Valve,Equipment Failure,Drilling Waste,Drilling Mud,1638,No,Yes,CO
05-045-18706,2214280,2011,2011,0,Directional,Encana Oil & Gas Inc,39.527465,-108.123519,Tank,NA,Pressur Transducer,Equipment Failure,Saltwater,Unknown,630,No,Yes,CO
05-045-11738,2214287,2011,2006,5,Directional,Caerus Piceance LLC,39.55733,-108.11864,Flowline,Leak,Rock Slide,Environmental Conditions,Saltwater,Unknown,1470,No,Yes,CO
05-045-17551,2214308,2011,2009,2,Directional,Vanguard Operating LLC,39.518776,-107.561248,Tank,NA,Valve,Human Error,Crude Oil,Unknown,1890,No,No,CO
05-045-20395,2214684,2011,2011,0,Directional,Encana Oil & Gas Inc,39.467597,-107.643172,Tank,NA,Valve,Human Error,Saltwater,Unknown,2100,No,Yes,CO
05-045-10553,2215062,2011,2005,6,Directional,Encana Oil & Gas Inc,39.600381,-108.151599,Pump,NA,Cap Weld,Equipment Failure,Hydraulic Fracture Solution,Unknown,210,No,Yes,CO
05-045-14916,2215218,2011,2007,4,Directional,Vanguard Operating LLC,39.49403,-107.63382,Tank,Overflow,Unknown,Human Error,Crude Oil,Unknown,1848,No,Yes,CO
05-045-20627,2215365,2011,2012,-1,Directional,WPX Energy Rocky Mountain LLC,39.522308,-107.59472,Flowline,Leak,Weld,Equipment Failure,Hydraulic Fracture Solution,Unknown,7980,No,No,CO
05-123-33249,2215611,2011,2011,0,Horizontal,Encana Oil & Gas Inc,40.188778,-104.886686,Transport,Leak,Loading/Unloading,Human Error,Condensate,Unknown,1260,No,Yes,CO
